review,polarity
Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice Nice ,1
good good good good good good good good good good good good good good good ,1
wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! wonderful! ,1
 love it you are able to see celebrity tweets and get info you didn't know... i love it,1
 it is fine.. and getting better.. working quite well for me at the minute. i liked the recent layout changes and messaging facilities. websites links are handled better and able to open in browser as well. the problem with notifications still exists.  i can't tell if someone accepted my connection request or send me an invitation. notifications appear for a second and go away.,1
 groups??? ** edit: i changed my rating from one to three stars due to linkedin's response to my review. glad groups is still in the app but i dont iike that it is not as straightforward to access them as before.,1
 memory game the levels are so hard and less moves . l do no how to pass 95 levels but levels are so bour. chico bar is very hard to finish. please any of you send me life,1
" umm.... while this game has gotten kinda old, and i've basically replaced it with the soda saga game, i still like playing this but for some reason, for i don't know how many days now, every time i go to open this game it'll load a little and then crash closed. fix please!!!!!!!!",1
good good good good good good good good good good,1
 love it you are able to see celebrity tweets and get info you didn't know... i love it,1
 it is fine.. and getting better.. working quite well for me at the minute. i liked the recent layout changes and messaging facilities. websites links are handled better and able to open in browser as well. the problem with notifications still exists.  i can't tell if someone accepted my connection request or send me an invitation. notifications appear for a second and go away.,1
 groups??? ** edit: i changed my rating from one to three stars due to linkedin's response to my review. glad groups is still in the app but i dont iike that it is not as straightforward to access them as before.,1
 memory game the levels are so hard and less moves . l do no how to pass 95 levels but levels are so bour. chico bar is very hard to finish. please any of you send me life,1
" umm.... while this game has gotten kinda old, and i've basically replaced it with the soda saga game, i still like playing this but for some reason, for i don't know how many days now, every time i go to open this game it'll load a little and then crash closed. fix please!!!!!!!!",1
" simple fun game this is the type of game that can be easy and difficult at the same time. each game is determined by how the candies drop, so sometimes you can fly through a level and other times you can be stuck for days. a good time filler when you have 5 mins to spare.",1
" awesome it's a great game that will test your patience. you may have to spend real money if you can't wait to move on or lack the skill needed to complete a stage. there are more than 1,000 stages, so far i'm up to level 82 and each level has at least 15 stages.",1
 1 of our 2 favorite games! it is a delight playing this modern classic that is constantly renewing our interest.,1
" suggestion. i given 5 stars to this game,  because i like it very much, but i have a suggestion to improve this game plz. when a color er bomb is mash with i striped candy, all of candies of the same color become striped and blast. but same action with tha rapped candy does not act like this. as works in candy crush soda saga. plz work on it. thanx. muhammad hanif karachi pakistan. no reply from admin, why ???????",1
 boosters gone!!!! last update took all my boosters.  im going to be patient for them to be restored.  if not i will be uninstalling and moving on.  not happy!,1
" fun, addicting game i've played this game for so long, i have everything. there's no way i can complain about a free game. my only wish is that there was a reward for completing the frozen artifacts challenge. i think this happened one other time too but oh well. still a fun game.",1
 awesomness this game is awesome but tricky with ice i play all day trying to win i might say i'm good at this game but my friends and family!ily look over my shoilder and say your playing the game wrong but i love this game,1
" amazing upgrade! love the upgrade in the game. just when i thought this game couldn't get any better, it exceeds my expectations. good job guys!",1
  pretty good if i do say so myself oh wait i did. it's a very fun game to play,1
" frozen 12/17/15 review of temple run 2..  appropriate for the age of 13 and up... great game without the redicioulous violence... provides sufficient rewards for successful achievements.... ...... you can either turn on or off google play rewards  very easy in temple run settings! !  ....  ..... ..... please click like, if helpful..... .... .... many thanks to their tech support and developers for their great work!!",1
 old is gold i used to play this game a lot when iwas nearly in 4 std but even after 4 years when i'm in 8 the this game still continues to be my fav . i really never get tired of playing this as u know now that this is my fav.,1
" everyone able to see  highest score i would like to given one idea ,i could not saw everyone higher score atleast 1 to 5 member,  i want to see each and everyone highest score through on my mobile , if you create this option, everyone will be try to achive the highest score ,i hope you will be create this option of temple run 2",1
 fun diversion good game to take a quick break from whatever you're doing. nice test of your ability to see and hear what's coming ahead and react. the latest update with the winter map improves the core game quite a bit.,1
 very adventurous game i love it very nice thrilling game everyone should download it and play !!!!! very addictive game i just stick on it good graphics and sound improved by the previous partđđđđđđđđ,1
" nice game.... its simply amazing...but i would like it better if we had custom options for graphics. it runs extremely smooth but the developer should go easy on the memory that is, it takes more space now than ever before. but overall its an epic game.",1
" know how to get the account back. you have to delete clash of clans,then you download it again, then you look on the upper left corner of the screen, then you see already have a village?'' then you press it,then you will have your village.",1
" no longer a casual game the current version of the game makes it too hard to play casually anymore. expect to spend 4-6 hours a day, just to stay afloat.",1
 google chrome app it allows me to browse the internet on a phone of all things. seriously guys we're living in the future. 5 stars because it always works.,1
 totally loved it but....... how to open new tab in lollipop. in kitkat to open new tab we have to swipe down form up but after i updated my software i can't find it. plz reply fast,1
 chrome browser (update: 3) ... barrister akash. it's a fine application i am not only like this application but also i am love thi application. essay browsing & perfectly working . so i have given this application 5 star (*****) akash.,1
" the best i agree totally with the last poster. chrome is simply the best for android   period. i've tried all the other crap out there and yeah they have some more features none of which i ever used. i have chrome on my laptop and pc and all of this is synced together. simple, direct and to the point and that's what i like and don't forget very fast.",1
 good... chrome is improving...! but there are some problems    1)we can't change the default download location.   2)app size is high.   3)can't save web pages for offline viewing.    4)can't stop loading web pages easily.,1
 i love viber viber is an excellent chatting software. only one tiny negative comment for you. sometimes it takes a delay to reach message even online.  stickers are so cool...,1
